quarter,bars,pnl_0.8/0.7,trades_0.8/0.7,pnl_1.3/1.1,trades_1.3/1.1,pnl_1.4/1.3,trades_1.4/1.3
2023-Q2,935,41545.68019200766,79,41093.55717222482,46,30164.06501137414,40
2023-Q3,3575,75262.48163424182,94,56311.848571423674,58,45642.232245047475,68
2023-Q4,3575,52314.91019110278,108,49281.64825603848,66,45686.387069566,81
2024-Q1,3346,54270.908742789376,169,50234.956167703895,88,38585.99218668601,115
2024-Q2,3465,31869.033634949803,144,32230.131986649667,83,30686.311708822956,97
2024-Q3,3625,85567.31070665436,125,39203.21607999053,49,29281.773933923225,61
2024-Q4,3621,97119.68065697925,347,60405.98300278824,169,49861.94464389675,157
2025-Q1,4095,53722.971984444426,60,49218.198613150984,49,66059.21569456473,84
2025-Q2,4819,118742.22775528098,97,68140.89207214184,35,64429.31154076865,46
2025-Q3,5152,127414.11191100393,140,98148.35460321263,79,66235.52148288133,82
2025-Q4,5008,126147.7419147041,146,129380.7728233427,99,112094.48514604148,134
2026-Q1,4644,-7917.432438766547,65,46791.09680262928,82,57166.50309815703,118
2026-Q2,3823,54250.2747359271,39,57184.29709128805,34,80666.24844277959,68
