entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.0,0.0,775121.1363312533,2174,-47396.44222656451,0.0,False
0.0,0.1,118438.3907036199,1214,-52991.73416765258,-0.1,False
0.0,0.2,-131376.92694805047,816,-187601.45001982682,-0.2,False
0.0,0.3,-199660.3217995916,612,-242338.19744671226,-0.3,False
0.0,0.4,-240645.90547760302,457,-261901.64531732167,-0.4,False
0.0,0.5,-245604.93094239038,363,-283426.0337554115,-0.5,False
0.0,0.6,-252570.43633393783,285,-286847.16519274126,-0.6,False
0.0,0.7,-273146.11797066085,245,-300448.7260394245,-0.7,False
0.0,0.8,-274916.33040661964,213,-300075.39559983095,-0.8,False
0.0,0.9,-277683.3141694316,167,-304365.96725474845,-0.9,False
0.0,1.0,-235383.05254901096,137,-260672.46113347012,-1.0,False
0.0,1.1,-253059.96607898315,121,-273997.8761105433,-1.1,False
0.0,1.2,-261074.10329346271,105,-275169.405211392,-1.2,False
0.0,1.3,-274758.70634938293,95,-285546.87849969894,-1.3,False
0.0,1.4,-240512.43131576816,81,-249743.62855873498,-1.4,False
0.0,1.5,-263013.7514745909,73,-275956.580187191,-1.5,False
0.0,1.6,-249306.59760179414,69,-256155.01787993955,-1.6,False
0.0,1.7,-256141.95113469928,61,-260684.96107058699,-1.7,False
0.0,1.8,-215063.73055576693,53,-229173.2757120609,-1.8,False
0.0,1.9,-226202.34990335305,51,-238221.63852121204,-1.9,False
0.0,2.0,-211070.9180264299,47,-224442.44428700383,-2.0,False
0.0,2.1,-219352.50812519607,43,-243368.82163770657,-2.1,False
0.0,2.2,-200490.5217198121,35,-225192.4615307112,-2.2,False
0.0,2.3,-188370.07512470664,31,-213961.12241707306,-2.3,False
0.0,2.4,-196300.99823794022,31,-221892.04553030664,-2.4,False
0.0,2.5,-191275.1348742279,29,-216866.1821665943,-2.5,False
0.1,0.0,893481.7836166217,1588,-47396.44222656451,0.1,True
0.1,0.1,755162.105153142,2206,-47396.44222656451,0.0,False
0.1,0.2,103611.42053951818,1246,-69458.21708309127,-0.1,False
0.1,0.3,-144960.13362471593,866,-196286.5367496978,-0.2,False
0.1,0.4,-218328.38492471183,613,-238954.57246377313,-0.3,False
0.1,0.5,-216168.79056030815,480,-280467.62608630257,-0.4,False
0.1,0.6,-255436.10105483292,368,-307818.86636465054,-0.5,False
0.1,0.7,-274621.10856852686,298,-320789.1349990247,-0.6,False
0.1,0.8,-287717.5347195655,255,-333604.82698737556,-0.7,False
0.1,0.9,-292390.85720705363,199,-335790.9323655712,-0.8,False
0.1,1.0,-250244.11885187533,158,-293294.43907867244,-0.9,False
0.1,1.1,-242253.51416661564,133,-292599.0590169838,-1.0,False
0.1,1.2,-234114.04481991267,106,-253065.02968866556,-1.1,False
0.1,1.3,-244409.5095559063,93,-261222.7759379998,-1.2,False
0.1,1.4,-266609.60801681725,91,-281865.89949156163,-1.3,False
