test_quarter,train_quarters,wf_entry,wf_exit,oos_pnl,train_pnl_is
2023-Q3,2023-Q2,1.1,0.5,57816.95530466025,54173.97083347278
2023-Q4,"2023-Q2,2023-Q3",0.3,0.1,69832.25510040927,235925.59718676755
2024-Q1,"2023-Q2,2023-Q3,2023-Q4",0.3,0.1,50414.5779582359,297022.96771118883
2024-Q2,"2023-Q2,2023-Q3,2023-Q4,2024-Q1",0.3,0.1,10393.21602852512,352197.18748079496
2024-Q3,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2",0.5,0.2,71880.50317887709,366882.64521239727
2024-Q4,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3",0.5,0.2,137804.96189887368,438413.0042515182
2025-Q1,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4",0.5,0.2,26340.718019438493,577675.8381891397
2025-Q2,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1",0.5,0.2,84920.8427299655,608049.9963628094
2025-Q3,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2",0.6,0.3,120538.55926707336,698394.0062712737
2025-Q4,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3",0.5,0.2,127245.37730207031,852084.6515411393
2026-Q1,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4",0.5,0.2,-13471.117777050451,984849.1591465671
2026-Q2,"2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1",0.5,0.2,20120.3085177147,970583.6332737238
