test_quarter,train_quarter,wf_entry,wf_exit,wf_gap,train_pnl_is,oos_pnl,oos_trades
2023-Q3,2023-Q2,1.1,0.5,0.6,54173.97083347278,57816.95530466025,27
2023-Q4,2023-Q3,0.3,0.1,0.2,187920.87722945953,69832.25510040927,91
2024-Q1,2023-Q4,0.4,0.2,0.2,70295.38581289336,58936.43616345933,154
2024-Q2,2024-Q1,0.8,0.3,0.5,72289.65117259127,35152.245948765645,50
2024-Q3,2024-Q2,1.3,0.5,0.8,48252.17214664091,50748.389033990665,23
2024-Q4,2024-Q3,0.8,0.7,0.1,85567.31070665436,97119.68065697925,347
2025-Q1,2024-Q4,0.7,0.4,0.3,146756.0598865798,41759.84249830322,33
2025-Q2,2025-Q1,1.6,1.4,0.2,86835.00844319578,58209.688718618614,27
2025-Q3,2025-Q2,0.7,0.6,0.1,129416.78657078698,132343.40401029034,142
2025-Q4,2025-Q3,0.4,0.1,0.3,152336.75024332013,122102.31440693556,78
2026-Q1,2025-Q4,0.7,0.5,0.2,146713.2852280232,-14948.4653997682,40
2026-Q2,2026-Q1,1.8,1.7,0.1,74375.80710328148,31160.762332170685,31
