entry,exit_z,baseline_pnl,baseline_trades,baseline_wr,baseline_mdd,baseline_pf,uw_pnl,uw_trades,uw_wr,uw_mdd,uw_pf,uw_forced,delta_pnl,delta_trades,delta_mdd
1.3,0.5,130318.0,66,86.4,-42971.0,3.78,42942.0,106,53.8,-51506.0,1.3,45,-87376.0,40,-8535.0
1.3,0.6,145056.0,78,88.5,-42047.0,4.14,53031.0,119,57.1,-48357.0,1.36,47,-92025.0,41,-6310.0
1.2,0.5,134486.0,75,86.7,-44334.0,3.59,30118.0,120,54.2,-59178.0,1.18,51,-104368.0,45,-14844.0
1.2,0.6,149222.0,89,88.8,-43410.0,3.88,38155.0,134,57.5,-56624.0,1.22,53,-111067.0,45,-13214.0
1.3,0.7,150893.0,91,87.9,-43503.0,4.36,34603.0,142,54.9,-58852.0,1.2,62,-116290.0,51,-15349.0
0.6,0.5,174017.0,228,84.2,-48067.0,3.09,41114.0,236,72.5,-28687.0,1.21,53,-132903.0,8,19380.0
1.1,0.5,176798.0,89,88.8,-44334.0,4.11,42444.0,144,53.5,-59719.0,1.21,63,-134354.0,55,-15385.0
1.2,0.7,161853.0,106,89.6,-40113.0,4.28,25955.0,163,57.1,-62651.0,1.13,68,-135898.0,57,-22538.0
1.0,0.5,165913.0,100,90.0,-44334.0,3.76,29503.0,154,55.2,-73518.0,1.14,66,-136410.0,54,-29184.0
1.1,0.6,188630.0,107,89.7,-43410.0,4.32,43320.0,158,57.0,-66451.0,1.21,64,-145310.0,51,-23041.0
1.0,0.6,189936.0,126,88.9,-43410.0,4.12,42781.0,175,60.6,-77731.0,1.2,66,-147155.0,49,-34321.0
1.1,0.7,204003.0,132,90.2,-40113.0,4.64,51942.0,187,62.0,-64018.0,1.24,69,-152061.0,55,-23905.0
1.3,0.8,194570.0,115,91.3,-38581.0,4.45,36727.0,163,58.3,-69302.0,1.19,64,-157843.0,48,-30721.0
0.7,0.6,192867.0,262,85.5,-47304.0,3.39,34360.0,277,75.8,-33775.0,1.16,55,-158507.0,15,13529.0
0.7,0.5,183266.0,187,88.2,-47481.0,3.35,24215.0,210,71.9,-34006.0,1.11,55,-159051.0,23,13475.0
1.3,0.9,203747.0,137,91.2,-32037.0,4.84,42759.0,187,61.0,-54381.0,1.22,69,-160988.0,50,-22344.0
1.0,0.7,203220.0,158,88.6,-41833.0,4.2,40569.0,207,65.2,-72928.0,1.18,70,-162651.0,49,-31095.0
1.3,1.2,254958.0,326,86.2,-25928.0,5.99,90852.0,345,73.9,-38266.0,1.51,62,-164106.0,19,-12338.0
0.9,0.5,178371.0,125,88.8,-44334.0,3.86,13418.0,175,58.3,-43824.0,1.06,70,-164953.0,50,510.0
1.3,1.0,233453.0,178,89.9,-27744.0,5.52,66915.0,216,68.5,-44700.0,1.36,65,-166538.0,38,-16956.0
1.3,1.1,257236.0,240,91.7,-27387.0,6.22,86224.0,268,74.6,-38616.0,1.47,62,-171012.0,28,-11229.0
0.9,0.6,201820.0,159,90.6,-43410.0,4.2,30501.0,203,64.5,-43382.0,1.13,69,-171319.0,44,28.0
0.8,0.5,180564.0,151,88.7,-44427.0,3.62,2492.0,186,64.5,-47595.0,1.01,61,-178072.0,35,-3168.0
0.8,0.7,207626.0,278,85.6,-41826.0,3.63,28439.0,294,72.8,-36859.0,1.12,65,-179187.0,16,4967.0
0.9,0.7,218249.0,206,89.3,-42473.0,4.27,35444.0,242,69.8,-43659.0,1.15,70,-182805.0,36,-1186.0
0.8,0.6,202841.0,202,88.6,-43410.0,3.94,18893.0,229,71.2,-45149.0,1.08,61,-183948.0,27,-1739.0
0.9,0.8,209653.0,293,85.0,-41322.0,3.38,22615.0,312,70.2,-39943.0,1.1,67,-187038.0,19,1379.0
1.2,0.8,206825.0,137,92.0,-38597.0,4.28,17395.0,185,60.5,-78133.0,1.08,69,-189430.0,48,-39536.0
1.2,0.9,205426.0,168,91.7,-36277.0,4.35,10661.0,216,63.9,-79276.0,1.05,73,-194765.0,48,-42999.0
1.2,1.0,243055.0,240,89.6,-27387.0,5.29,44083.0,274,71.2,-56412.0,1.2,71,-198972.0,34,-29025.0
1.2,1.1,254780.0,348,86.5,-27387.0,5.44,53917.0,369,74.3,-52878.0,1.25,69,-200863.0,21,-25491.0
1.0,0.8,218420.0,213,89.7,-39497.0,3.76,3181.0,250,68.4,-84568.0,1.01,73,-215239.0,37,-45071.0
1.1,0.8,242792.0,174,91.4,-36309.0,4.5,25526.0,222,65.3,-60239.0,1.11,71,-217266.0,48,-23930.0
1.0,0.9,218609.0,294,82.0,-36437.0,3.55,-8028.0,322,67.1,-79332.0,0.97,75,-226637.0,28,-42895.0
1.1,0.9,245592.0,221,88.2,-33132.0,4.53,16160.0,268,67.2,-61442.0,1.07,76,-229432.0,47,-28310.0
1.1,1.0,263077.0,327,86.2,-27387.0,4.56,17631.0,352,71.9,-56842.0,1.07,76,-245446.0,25,-29455.0
