strategy,entry_z,exit_z,lookback_days,entry_pct,exit_band_pp,red_zone,pnl,trades,mdd,win_pct,median_hold_h,hold_gt_48h,red_zone_exits,score
z,0.85,0.65,,,,off,1033460.5849271611,1244,42164.82217010332,86.09324758842443,1.0,89,0,1018702.8971676249
z,0.85,0.6,,,,off,1033279.7576708939,1097,43410.18402055593,88.24065633546034,1.25,93,0,1018086.1932636993
z,0.7,0.5,,,,off,1028649.1532573246,1270,47481.420821905136,85.11811023622047,1.25,100,0,1012030.6559696578
z,0.85,0.7,,,,off,1026566.4495234607,1394,42472.72572623845,83.42898134863701,1.0,90,0,1011700.9955192773
z,0.7,0.45,,,,off,1027918.7354334114,1151,47250.28727025096,87.22849695916594,1.25,98,0,1011381.1348888236
z,0.6,0.4,,,,off,1027283.3976028828,1292,47463.34525556094,85.06191950464397,1.0,104,0,1010671.2267634365
z,0.65,0.4,,,,off,1022960.8010671259,1144,47463.34525556106,88.2867132867133,1.25,103,0,1006348.6302276795
z,0.7,0.4,,,,off,1022477.2376008972,1038,47250.28727025096,89.59537572254335,1.5,100,0,1005939.6370563094
z,0.6,0.35,,,,off,1019902.2493085945,1168,47463.34525556106,87.7568493150685,1.25,102,0,1003290.0784691481
z,0.7,0.55,,,,off,1019777.9077000003,1423,47331.03691969416,82.15038650737878,1.0,98,0,1003212.0447781074
z,0.65,0.5,,,,off,1017974.3128306061,1430,48066.657033498865,83.07692307692308,1.0,103,0,1001150.9828688815
z,0.75,0.5,,,,off,1016785.3130282703,1146,48092.86120553571,86.99825479930192,1.25,99,0,999952.8116063328
z,0.85,0.55,,,,off,1013123.2501015726,989,44276.233049254166,90.09100101112234,1.5,92,0,997626.5685343336
z,0.85,0.5,,,,off,1013076.125220113,906,44334.07569977781,90.83885209713024,1.75,93,0,997559.1987251907
z,0.9,0.7,,,,off,1010798.2681984766,1203,42472.72572623845,85.619285120532,1.0,89,0,995932.8141942932
z,0.65,0.45,,,,off,1012310.3793407107,1281,47463.34525556106,85.48009367681499,1.25,101,0,995698.2085012643
z,0.9,0.65,,,,off,1010260.9308523443,1083,42164.822170103434,88.27331486611266,1.25,88,0,995503.243092808
z,0.55,0.35,,,,off,1011886.326128144,1293,48378.2818994011,85.61484918793504,1.25,104,0,994953.9274633536
z,0.7,0.35,,,,off,1008951.4216588695,947,47250.28727025096,90.60190073917634,1.75,99,0,992413.8211142817
z,0.9,0.6,,,,off,1005347.4417177157,960,43410.18402055593,89.89583333333333,1.5,92,0,990153.8773105211
z,0.65,0.35,,,,off,1006194.2422365089,1041,47463.34525556106,90.10566762728146,1.5,101,0,989582.0713970625
z,0.55,0.4,,,,off,1003874.1407495652,1445,48378.2818994011,82.56055363321799,1.0,106,0,986941.7420847748
z,0.6,0.3,,,,off,1002641.5726319755,1039,47396.44222656451,89.60538979788258,1.5,101,0,986052.8178526779
z,0.5,0.35,,,,off,1002082.7478485912,1450,48717.87106830848,83.44827586206897,1.0,106,0,985031.4929746832
z,0.8,0.6,,,,off,1000128.2820270123,1253,43410.18402055593,85.47486033519553,1.25,96,0,984934.7176198177
z,0.55,0.3,,,,off,1001204.0834365077,1142,47396.44222656451,88.09106830122592,1.5,103,0,984615.3286572101
z,0.75,0.45,,,,off,999100.3289042033,1046,46632.00947420101,88.52772466539197,1.5,97,0,982779.1255882329
z,0.6,0.45,,,,off,997691.2057103676,1457,47463.34525556106,81.7433081674674,1.0,102,0,981079.0348709213
z,0.75,0.55,,,,off,997702.4086629254,1266,47942.47730332473,84.36018957345972,1.25,97,0,980922.5416067617
z,0.65,0.55,,,,off,996009.8341704077,1622,47916.27313128789,78.97657213316893,0.75,100,0,979239.138574457
z,0.5,0.3,,,,off,994606.0180505946,1264,47396.44222656451,86.07594936708861,1.25,105,0,978017.263271297
z,0.75,0.4,,,,off,994128.058671003,949,46632.00947420101,90.30558482613277,1.75,98,0,977806.8553550326
z,0.8,0.5,,,,off,991772.4397438514,1013,44426.61695146514,89.53603158933859,1.5,98,0,976223.1238108387
z,0.85,0.45,,,,off,990649.6874069559,838,42873.22396844311,91.8854415274463,1.875,93,0,975644.0590180007
z,0.8,0.55,,,,off,989076.9314024448,1119,44276.233049254166,87.75692582663092,1.25,96,0,973580.2498352058
z,0.9,0.5,,,,off,985460.5475742043,802,44334.07569977781,91.52119700748129,2.0,92,0,969943.621079282
z,0.7,0.6,,,,off,985868.626721654,1618,47304.26479436958,78.73918417799753,0.75,98,0,969312.1340436246
z,0.9,0.55,,,,off,984186.5732803588,872,44276.233049254166,91.1697247706422,1.75,92,0,968689.8917131198
z,0.65,0.3,,,,off,984891.4717663698,934,47396.44222656451,91.00642398286938,1.75,101,0,968302.7169870721
z,0.75,0.6,,,,off,982617.164548989,1418,47076.428274626494,81.5937940761636,1.0,97,0,966140.4146528698
z,0.8,0.65,,,,off,980090.2643334955,1435,40989.920914267306,82.50871080139373,1.0,91,0,965743.792013502
z,0.6,0.5,,,,off,982566.9209480821,1653,48066.657033498865,78.46339987900787,0.75,103,0,965743.5909863575
z,0.7,0.3,,,,off,981274.4173193158,855,47396.44222656451,91.11111111111111,2.0,100,0,964685.6625400182
z,0.5,0.4,,,,off,980370.3337807468,1629,48717.87106830848,79.31246163290362,1.0,108,0,963319.0789068388
z,0.85,0.4,,,,off,973907.6242196478,768,42873.22396844311,92.44791666666667,2.0,94,0,958901.9958306927
z,0.75,0.35,,,,off,974656.6629828565,870,46632.00947420101,91.03448275862068,1.875,98,0,958335.4596668861
z,0.8,0.45,,,,off,973053.6617008261,930,42965.765220130445,90.3225806451613,1.75,96,0,958015.6438737805
z,0.8,0.4,,,,off,967559.4775787379,850,42965.765220130445,91.41176470588235,1.75,97,0,952521.4597516923
z,0.95,0.65,,,,off,966122.4413733934,935,42164.822170103434,89.41176470588235,1.5,86,0,951364.7536138572
z,0.95,0.7,,,,off,964530.1114044338,1025,42472.72572623845,87.60975609756098,1.25,87,0,949664.6574002504
z,0.55,0.45,,,,off,961595.9805425786,1654,48378.2818994011,78.17412333736397,0.75,104,0,944663.5818777882
z,0.9,0.45,,,,off,955429.7211678547,743,42873.22396844311,92.32839838492598,2.25,93,0,940424.0927788996
z,0.95,0.6,,,,off,954129.7255995476,834,43410.18402055593,90.88729016786571,1.75,88,0,938936.161192353
z,0.85,0.35,,,,off,952428.6575430983,711,42873.22396844311,92.54571026722925,2.5,94,0,937423.0291541432
