entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.0,0.0,191908.9100480322,333,-47396.44222656451,0.0,False
0.0,0.1,72261.7758456988,162,-47396.4422265645,-0.1,False
0.0,0.2,-5324.192626825687,107,-66448.55995338655,-0.2,False
0.0,0.3,-28950.000220533122,76,-70769.53586285286,-0.3,False
0.0,0.4,-26124.31393007458,60,-46885.00179444393,-0.4,False
0.0,0.5,-15782.71400058495,48,-53017.13884781533,-0.5,False
0.0,0.6,8477.983253564673,30,-34773.70472253191,-0.6,False
0.0,0.7,-7813.310016665843,28,-40222.6037320847,-0.7,False
0.0,0.8,-7831.589595991719,26,-31774.076025353323,-0.8,False
0.0,0.9,-13375.11797454553,20,-38462.68512511067,-0.9,False
0.0,1.0,-16272.748139141666,20,-38849.35480217919,-1.0,False
0.0,1.1,-31540.24278632642,20,-46290.91553994699,-1.1,False
0.0,1.2,-30673.707135495653,16,-41528.25100190037,-1.2,False
0.0,1.3,-33462.9265650835,16,-42296.02289603661,-1.3,False
0.0,1.4,-26398.553259339365,16,-35231.649590292465,-1.4,False
0.0,1.5,-36944.27654167438,14,-46022.33069204935,-1.5,False
0.0,1.6,-29430.12486155909,12,-37054.29673252049,-1.6,False
0.0,1.7,-32495.443080551704,10,-50076.19870097611,-1.7,False
0.0,1.8,-28411.67004061919,10,-45712.39337987524,-1.8,False
0.0,1.9,-31577.1863524918,8,-48432.400611145014,-1.9,False
0.0,2.0,-34132.40042217076,8,-52865.28283501313,-2.0,False
0.0,2.1,-34987.82969294638,8,-53720.712105788756,-2.1,False
0.0,2.2,-24729.07125609988,6,-55190.99765778286,-2.2,False
0.0,2.3,-25732.21957803616,6,-54497.25192745849,-2.3,False
0.0,2.4,-26081.604428656356,6,-54846.63677807868,-2.4,False
0.0,2.5,-14938.978357158507,4,-54846.636778078675,-2.5,False
0.1,0.0,212819.57253822318,229,-47396.44222656451,0.1,True
0.1,0.1,177271.96500820434,309,-47396.44222656451,0.0,False
0.1,0.2,16679.262538351282,173,-55374.55478003448,-0.1,False
0.1,0.3,-42076.62471740061,110,-78599.06084134604,-0.2,False
0.1,0.4,-14981.41932453139,72,-42081.27619080555,-0.3,False
0.1,0.5,16111.671238352232,58,-51397.89193561414,-0.4,False
0.1,0.6,29525.890265435824,39,-27132.73760023924,-0.5,False
0.1,0.7,10297.395916223262,39,-33206.03732169648,-0.6,False
0.1,0.8,4578.93620176786,35,-38921.91939134047,-0.7,False
0.1,0.9,-11009.439788336358,32,-54227.16382461535,-0.8,False
0.1,1.0,-11950.539281870948,30,-54480.78767973449,-0.9,False
0.1,1.1,-9273.470609322485,27,-52116.77227910807,-1.0,False
0.1,1.2,-40466.2443762467,22,-52632.941087992855,-1.1,False
0.1,1.3,-36436.33031441504,19,-47750.990771663455,-1.2,False
0.1,1.4,-31819.196747588983,18,-43133.8572048374,-1.3,False
0.1,1.5,-41366.68745069386,16,-56907.3026768432,-1.4,False
0.1,1.6,-33474.6487634324,13,-40571.45482717962,-1.5,False
0.1,1.7,-26016.789385233544,9,-49466.66732519991,-1.6,False
0.1,1.8,-25424.377900201274,10,-44545.50448991364,-1.7,False
0.1,1.9,-23427.582952244706,9,-41982.36596955255,-1.8,False
0.1,2.0,-25237.918112250063,9,-43792.70112955791,-1.9,False
0.1,2.1,-26616.31844638447,9,-45286.07545527341,-2.0,False
0.1,2.2,-21075.66988509065,6,-43293.99038391857,-2.1,False
0.1,2.3,-22297.539015773098,6,-42600.2446535942,-2.2,False
0.1,2.4,-46429.87187657325,7,-61587.61280971609,-2.3,False
0.1,2.5,-43044.512893459156,6,-58202.253826602,-2.4,False
0.2,0.0,207714.63666529104,181,-47396.44222656451,0.2,True
0.2,0.1,189082.61739296556,223,-47396.44222656451,0.1,True
0.2,0.2,174454.62547542137,333,-47396.44222656451,0.0,False
0.2,0.3,58405.87675068327,137,-53281.79782685301,-0.1,False
0.2,0.4,-3158.779889667031,104,-37627.79659798776,-0.2,False
0.2,0.5,23432.73169842879,75,-46230.23332840108,-0.3,False
0.2,0.6,35831.83813720272,47,-26787.898372680425,-0.4,False
0.2,0.7,12074.820374483515,45,-36838.77517122873,-0.5,False
0.2,0.8,5414.422160130328,40,-41126.388844601475,-0.6,False
0.2,0.9,-8724.677484898652,35,-50945.23161038575,-0.7,False
0.2,1.0,1158.9939040147667,28,-40350.63688095767,-0.8,False
0.2,1.1,-6123.897980700461,28,-47946.582037594926,-0.9,False
0.2,1.2,-42430.22483545972,24,-51727.472946471054,-1.0,False
0.2,1.3,-42807.444575478774,24,-51252.65643199238,-1.1,False
0.2,1.4,-47973.37805991968,27,-56418.58991643328,-1.2,False
0.2,1.5,-59282.61601304685,23,-71953.78263846137,-1.3,False
0.2,1.6,-50216.0668072487,19,-55942.911120939396,-1.4,False
0.2,1.7,-67215.34453308956,18,-77452.15631455817,-1.5,False
0.2,1.8,-63519.22039187084,18,-69427.28082308546,-1.6,False
0.2,1.9,-60059.730214826894,17,-65401.447073637006,-1.7,False
0.2,2.0,-62143.33185867453,16,-67485.04871748463,-1.8,False
0.2,2.1,-58873.28170412577,14,-64329.97255451698,-1.9,False
0.2,2.2,-39491.03620605196,9,-56641.26108212609,-2.0,False
0.2,2.3,-41357.996188615965,9,-58178.25433272683,-2.1,False
0.2,2.4,-30610.695434460908,6,-48969.55981549279,-2.2,False
0.2,2.5,-30378.620033436408,6,-48737.48441446829,-2.3,False
0.3,0.0,210702.21417598147,148,-47396.44222656451,0.3,True
0.3,0.1,197196.77695866194,180,-47396.44222656451,0.2,True
0.3,0.2,197893.0661908159,246,-47396.44222656451,0.1,True
0.3,0.3,163821.88084624088,333,-47396.44222656451,0.0,False
