entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
0.0,0.0,282943.7309259452,604,-47396.44222656451,0.0,False
0.0,0.1,80978.08524893853,288,-47396.4422265645,-0.1,False
0.0,0.2,-44910.1830555295,172,-95211.19660112324,-0.2,False
0.0,0.3,-66284.43515027697,112,-121368.95247036898,-0.3,False
0.0,0.4,-66985.11726434916,89,-106411.40107502449,-0.4,False
0.0,0.5,-50995.475142708594,65,-110288.37798769737,-0.5,False
0.0,0.6,-32651.158446624802,45,-90689.60641429143,-0.6,False
0.0,0.7,-43648.43344459895,45,-96713.6841796497,-0.7,False
0.0,0.8,-54174.401656486145,41,-101946.49334027602,-0.8,False
0.0,0.9,-63260.27655553267,35,-111121.88431929747,-0.9,False
0.0,1.0,-66094.22167228098,33,-111588.33959707702,-1.0,False
0.0,1.1,-82089.20016448207,33,-119486.12637681025,-1.1,False
0.0,1.2,-89954.0295274171,25,-99891.56237498751,-1.2,False
0.0,1.3,-91958.05525970599,25,-99618.26329143794,-1.3,False
0.0,1.4,-85346.73909596086,23,-92694.53364385013,-1.4,False
0.0,1.5,-87863.88388664984,19,-96501.94381352386,-1.5,False
0.0,1.6,-83280.72557936788,17,-89555.5447657971,-1.6,False
0.0,1.7,-99341.42759133004,17,-105756.60510067108,-1.7,False
0.0,1.8,-75255.24385449186,15,-85193.20584367198,-1.8,False
0.0,1.9,-75594.98309338879,13,-86694.77080870999,-1.9,False
0.0,2.0,-80318.91206489265,13,-92711.18489554364,-2.0,False
0.0,2.1,-79647.07730088555,13,-92039.35013153654,-2.1,False
0.0,2.2,-58068.115017011696,9,-70460.3878476627,-2.2,False
0.0,2.3,-54351.76745519383,7,-65005.47072801007,-2.3,False
0.0,2.4,-54540.206171409,7,-64906.874730096555,-2.4,False
0.0,2.5,-56075.22508485702,7,-66441.89364354456,-2.5,False
0.1,0.0,320879.0328664714,410,-47396.44222656451,0.1,True
0.1,0.1,258709.4250280717,610,-47396.44222656451,0.0,False
0.1,0.2,-31144.860921220636,297,-59055.57297602741,-0.1,False
0.1,0.3,-109630.93291913552,187,-129264.49971132075,-0.2,False
0.1,0.4,-76344.14149727707,126,-85917.29615341144,-0.3,False
0.1,0.5,-51466.4391358344,93,-105558.56277429267,-0.4,False
0.1,0.6,-19190.03309632181,65,-89014.83425947698,-0.5,False
0.1,0.7,-40390.794493433925,63,-106608.63811080626,-0.6,False
0.1,0.8,-56860.034420644006,61,-121068.82547827627,-0.7,False
0.1,0.9,-66500.72580769152,49,-130090.00765580009,-0.8,False
0.1,1.0,-39924.40537879102,40,-110268.58364316156,-0.9,False
0.1,1.1,-31668.78658036652,33,-102326.0181166591,-1.0,False
0.1,1.2,-56234.3877680052,25,-95753.80289259505,-1.1,False
0.1,1.3,-52012.718149936736,22,-90680.09702002884,-1.2,False
0.1,1.4,-54580.22699168037,20,-93247.60586177248,-1.3,False
0.1,1.5,-61212.616330301746,17,-103316.17841136098,-1.4,False
0.1,1.6,-55836.17679639245,15,-90982.17136540136,-1.5,False
0.1,1.7,-65181.60911705392,14,-105290.47691182881,-1.6,False
0.1,1.8,-43918.96922230025,13,-84494.06663560765,-1.7,False
0.1,1.9,-43089.4146033736,14,-82783.22744432076,-1.8,False
0.1,2.0,-37469.97896194445,11,-78736.1121905107,-1.9,False
0.1,2.1,-38443.713674958235,11,-79824.82089510559,-2.0,False
0.1,2.2,-31653.18312312196,8,-82132.2266486004,-2.1,False
0.1,2.3,-27057.4672085982,7,-77206.54400211338,-2.2,False
0.1,2.4,-49037.222473323076,8,-97148.39521285522,-2.3,False
0.1,2.5,-27608.48649284744,5,-75719.65923237959,-2.4,False
0.2,0.0,318086.52802180854,301,-47396.44222656451,0.2,True
0.2,0.1,296594.4382834656,409,-47396.44222656451,0.1,True
0.2,0.2,242484.54511763915,615,-47396.44222656451,0.0,False
0.2,0.3,41824.127105657026,269,-53281.79782685301,-0.1,False
0.2,0.4,-37845.61120403191,160,-52194.23392282495,-0.2,False
0.2,0.5,-32481.441116908096,128,-87629.03472604402,-0.3,False
0.2,0.6,-8677.843924219982,88,-85626.56596381648,-0.4,False
0.2,0.7,-23523.361235509852,79,-96865.12572932348,-0.5,False
0.2,0.8,-25445.605408405536,62,-96491.07494549175,-0.6,False
0.2,0.9,-40348.1857001564,51,-106852.22932166302,-0.7,False
0.2,1.0,-7327.221522892323,34,-80262.99015964239,-0.8,False
0.2,1.1,-10249.74593018767,30,-83498.56783885977,-0.9,False
0.2,1.2,-47307.33957983735,25,-87569.51408896301,-1.0,False
0.2,1.3,-51634.045947679435,27,-91044.18420230737,-1.1,False
0.2,1.4,-59049.90082120936,27,-98460.0390758373,-1.2,False
0.2,1.5,-62055.90476985318,22,-104902.22623544824,-1.3,False
0.2,1.6,-58773.46733881677,20,-95115.12705034955,-1.4,False
0.2,1.7,-68649.18324734946,18,-109500.81042666017,-1.5,False
0.2,1.8,-58708.73779574632,18,-100026.59459358956,-1.6,False
0.2,1.9,-61672.41060905908,20,-102108.98283454205,-1.7,False
0.2,2.0,-56886.394782455885,16,-97777.14116800713,-1.8,False
0.2,2.1,-57941.24802611102,15,-98946.96840324334,-1.9,False
0.2,2.2,-53994.88824458627,12,-104098.54492704969,-2.0,False
0.2,2.3,-51066.05763150311,11,-100839.74758200329,-2.1,False
