entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
1.1,1.0,343847.55756477517,412,-27387.172066511586,0.1,True
1.3,1.1,348444.75268756656,309,-27387.172066511586,0.2,True
0.3,0.0,332482.19759237685,239,-47396.44222656451,0.3,True
0.4,0.0,315518.7768337714,194,-47396.44222656451,0.4,True
0.7,0.2,298802.01870065153,160,-47396.44222656451,0.5,True
0.7,0.1,294743.96857835253,141,-47396.44222656451,0.6,True
0.8,0.1,271826.4420213487,120,-47396.44222656451,0.7,True
0.9,0.1,267322.629168319,105,-47303.90097487724,0.8,True
0.9,0.0,252494.542901129,93,-47303.90097487724,0.9,True
1.1,0.1,234255.86973773388,78,-47303.90097487724,1.0,True
1.1,0.0,238228.63391441264,74,-47303.90097487724,1.1,True
1.2,0.0,183708.5443602983,60,-47303.90097487724,1.2,True
1.7,0.4,162443.40579209078,50,-37692.38434185865,1.3,True
1.8,0.4,138302.50633186012,44,-36786.26779454481,1.4,True
1.9,0.4,129893.95029557118,40,-33455.490584735715,1.5,True
1.6,0.0,120939.09141997699,39,-47303.90097487724,1.6,True
2.1,0.4,119006.03860430868,32,-33455.490584735715,1.7,True
2.2,0.4,92253.60742146625,24,-26914.483281022927,1.8,True
2.3,0.4,94340.43496143328,23,-26541.629406651628,1.9,True
2.4,0.4,80534.13542922081,19,-21119.22237517708,2.0,True
2.5,0.4,77547.31661095859,17,-20897.100236673985,2.1,True
2.3,0.1,52219.688823776334,20,-47303.90097487723,2.2,True
2.3,0.0,49090.38847370962,19,-47303.90097487723,2.3,True
2.4,0.0,30384.91417813972,16,-43099.800726843016,2.4,True
2.5,0.0,21425.875884474182,14,-43099.800726843016,2.5,True
