entry,exit_z,total_pnl_rub,trade_count,max_drawdown_rub,gap,valid
1.4,1.3,280379.8745290382,354,-24028.09324089912,0.1,True
1.5,1.3,275417.6868524432,231,-24028.09324089912,0.2,True
1.6,1.3,266614.47615998186,181,-22696.511321064463,0.3,True
1.6,1.2,249047.18492077515,149,-24589.432631797274,0.4,True
1.6,1.1,221124.79233915012,121,-26284.773140739562,0.5,True
1.8,1.2,193772.02852480675,91,-28229.15961046901,0.6,True
1.1,0.4,177177.5647100603,79,-42873.22396844314,0.7,True
1.1,0.3,163824.97111589357,69,-47303.90097487724,0.8,True
1.1,0.2,140934.2762979203,58,-47303.90097487724,0.9,True
1.4,0.4,134887.34248013614,55,-39370.10671239425,1.0,True
1.1,0.0,125621.3907617586,48,-47303.90097487724,1.1,True
1.2,0.0,102080.59840392502,44,-47303.90097487724,1.2,True
1.3,0.0,86373.07901695586,39,-47303.90097487724,1.3,True
2.1,0.7,86424.39659074592,30,-32383.262660324443,1.4,True
2.1,0.6,74592.09124703152,27,-31834.996989776904,1.5,True
2.0,0.4,71269.82310343685,26,-33455.490584735715,1.6,True
2.1,0.4,73649.61860491059,24,-33455.4905847357,1.7,True
2.4,0.6,49149.52021477123,16,-22580.074106511725,1.8,True
2.3,0.4,51925.50971937299,17,-26541.629406651628,1.9,True
2.4,0.4,48781.86178097347,15,-21119.222375177087,2.0,True
2.5,0.4,45966.69427946274,13,-20897.100236673985,2.1,True
2.3,0.1,22715.185196865805,15,-47303.90097487723,2.2,True
2.3,0.0,24778.745802391568,15,-47303.90097487723,2.3,True
2.4,0.0,14140.90871379433,13,-43099.800726843016,2.4,True
2.5,0.0,5228.976811834755,11,-43099.800726843016,2.5,True
